NO,NEGERI,PPD,PERINGKAT,JENIS,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINAT_X,KOORDINAT_Y
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0002,SEKOLAH KEBANGSAAN PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,054182740,054182740,ABA0002@moe.edu.my,Bandar,SK,430.0,38.0,TIADA,ADA,101.2006171,4.178275806
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0003,SEKOLAH KEBANGSAAN BANIR,BANIR,35400,TAPAH ROAD,01165750521,TIADA,ABA0003@moe.edu.my,Bandar,SK,39.0,12.0,TIADA,ADA,101.181893,4.204361
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0004,SEKOLAH KEBANGSAAN TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,01165566954,054690263,ABA0004@moe.edu.my,Bandar,SK,110.0,17.0,TIADA,ADA,101.1728194,4.235840515
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0005,SEKOLAH KEBANGSAAN CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,054161461,054161461,ABA0005@moe.edu.my,Luar Bandar,SK,170.0,19.0,TIADA,ADA,101.240556,4.26798
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0006,SEKOLAH KEBANGSAAN BIDOR,JALAN SUNGKAI,35500,BIDOR,054340797,054340797,ABA0006@moe.edu.my,Bandar,SK,267.0,30.0,TIADA,ADA,101.2885528,4.107830073
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0007,SEKOLAH KEBANGSAAN KAMPONG POH,KAMPONG POH,35500,BIDOR,01165750582,TIADA,ABA0007@moe.edu.my,Luar Bandar,SK,100.0,14.0,TIADA,ADA,101.333928,4.087714
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0008,SEKOLAH KEBANGSAAN BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,054198507,054190161,ABA0008@moe.edu.my,Bandar,SK,196.0,19.0,TIADA,ADA,101.2275938,4.225044552
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0009,SEKOLAH KEBANGSAAN BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,054011249,TIADA,ABA0009@moe.edu.my,Bandar,SK,135.0,14.0,TIADA,ADA,101.2849985,4.199232221
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0010,SEKOLAH KEBANGSAAN HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,056591069,056591069,ABA0010@moe.edu.my,Bandar,SK,257.0,30.0,TIADA,ADA,101.151,4.126494
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0011,SEKOLAH KEBANGSAAN SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,TIADA,TIADA,ABA0011@moe.edu.my,Luar Bandar,SK,179.0,17.0,TIADA,ADA,101.2466694,4.298925082
